Answer,Enumeration,Clue,Grid Number
BOUZOUKI,8,Greek music-player primarily bought Greek liqueur over British one,251
DOGOODER,2-6,"Hero to follow ring, diving into German river",251
NATTINESS,9,"Ten satins tailored, giving you dapper quality",251
ASSISTANT,9,Satanist's new henchperson?,251
LOGARITHMS,10,Large histogram misrepresented mathemtical functions,251
INSOBRIETY,10,Drunkenness of noisy Brit raving and swallowing ecstasy,251
MARYSHELLEY,"4,7","British writer misspelt ""alley"" rhymes",251
PHARE,5,I see power turned on beacon,252
SQUIT,5,Rubbish soprano having to resign,252
ABOHM,5,A mob uprising wins hearts for resistance unit,252
CAPEK,5,Superhero feature with origin of killer robot inventor,252
VOZHD,5,Russian leader opposing Australia with great resolution,252
TWOER,5,It's worth a couple thousand won off each restaurant's tips,252
WUXIA,5,"With Universal, getting 11 ace adventure movies set in China",252
SIZAR,5,Cambridge student and teacher holding street maps upside-down,252
KIDDO,5,Setter had day to enter knockout sport,252
SYSOP,5,"With singular yuan, bribe network administrator",252
PHISH,5,Pressure that guy's husband at first in scam online,252
APOOP,5,"Jack's back as up-and-coming ""#2 Dad""",252
AZULEJO,7,"Glazed, colourful inlay essentially shattered Joe's pottery tile",252
SHALLOP,7,Rowboat will work,252
EIDOLON,7,Finally conjure image of God above as apparition,252
TOLUENE,7,Solvent to start to liquefy—but barely—at 67.5 degrees,252
OERSTED,7,Well-doer St Edward displays this amount of magnetic intensity,252
YARDARM,7,Adjusted my radar beam on ship,252
LORELEI,7,Siren of legends having regular appearances in Algeria,252
CUNEIFORM,9,Writing about one in France and Italy for month,252
SAVILEROW,"6,3","Group of couturiers wore 54 Prada shoes—at last, flip-flops!",252
PREADAMIC,3-6,Trained paramedic arriving before rib donor,252
METROPLEX,9,Maine overhauled large port by old urban area,252
REDINGOTE,9,Visibly hot metal block latest to singe overcoat,252
PIACEVOLE,9,Agreeably irrational expert encountering small rodent,252
HEXAMERIC,9,Magic superpower mostly comprising six discrete components,252
NAUMACHIA,9,Olympian's final gold: 761 mph at a sea contest,252
DIXIELAND,9,"One by one, getting in key with New Orleans jazz",252
SCHLEMIEL,9,School almost led Mike to wit—ultimately still an unlucky fool,252
ENTHYMEME,9,Unsound argument made by Parisian in your viral video?,252
SESTERCES,9,"After excavation, solve mysteries about ancient Roman coins",252
BANK,4,Outlaw King's accumulation of wealth,253
MEWL,4,Piteous whimper from stubborn animal escaping trap,253
BEET,4,"Pollinator, essential part of strengthening crop",253
DEBRIS,6,Refuse drunk brides,253
STALER,6,Less original story penned by senior,253
OUTBID,6,Misguided doubt inspiring one to bet more,253
SIMPER,6,"First sign of shiftier half of impersonal, ingratiating smile",253
FACADE,6,Show a decaf being brewed,253
QUARRY,6,What we're hunting is mine,253
ONETWO,3-3,Earn win in barefoot boxing combo,253
HEARSE,6,Vehicle for the late man getting behind,253
SPACEBAR,"5,3",Key's migratory pea crabs,253
POLITICO,8,Government minister is the first jerk wearing casual shirt,253
ALLCLEAR,"3,5",Authorisation for each LLC to get real exchanged,253
EPISTROPHE,10,"Record one emotional outburst by that guy, identifying rhetorical repetition",253
PREFERMENT,10,"Leader of privates, on crushing unrest, gets promotion",253
SUPERPOWER,10,A prisoner of war captured by awful ruse in strong nation,253
PERPETRATE,10,Be responsible for what a family vet could charge,253
HEADLESSCHICKEN,"8,7",One panicking setter's raven?,253
WITHOUTQUESTION,"7,8","Way in which faqir could be fair, undoubtedly",253
GOFASTERSTRIPES,"2-6,7",Some complaining of asters' tri-pesticide feature not actually doing anything,253
ETUI,4,Every third item in the antiquities case,254
BOON,4,Beloved knight's gift,254
AFAR,4,Group of seafarers from a long way away,254
BRIDAL,6,Heard to show resentment for newlywed,254
ENIGMA,6,"Machine used during war game, in bombs",254
THORNS,6,Sharp projections playing 'North and South',254
GALORE,6,"Good aluminium bauxite, perhaps in abundance",254
OHMAGE,6,Surprised exclamation at wizard showing some resistance,254
ATREST,2-4,Still getting answer right in exam,254
COHOST,2-4,One of the presenters in salmon tee,254
TENREC,6,Madagascan animal appearing in written records,254
KNITWEAR,8,Caught bug in the place that makes woollen garments,254
DAYLIGHT,8,Clear space in delta to disembark after crossing Wye,254
ADHERENT,8,Advocate' poster that man tore in two,254
OLDNORSE,"3,5",One lord's translated language of the Eddas,254
GREETING,8,"Welcoming novice with gravity, to overwhelm initiate at centre",254
REHEARSE,8,Royal Engineers attend 'evacuation of submarine' drill,254
INDIANAN,8,Hoosier huntress lodged in guesthouse,254
CHOOCHOO,4-4,Sound of steam coming from cold liquor glasses,254
EDINBURGH,9,Hot food with no fish served up in city,254
GATECRASH,9,Georgia detective daring to turn up uninvited,254
STRAIGHTFORWARD,15,Poker hand with which pro and protégé are not bluffing,254
LATERALTHINKING,"7,8",Unorthodox ideas of family to be taken up by next Icelandic parliament,254
DIE,3,"Each second in Idaho, five people perish",255
STAB,4,Go mad after upheaval,255
ZINC,4,Jazz finally incorporated in heavy metal,255
DOPE,4,Use performance-enhancing drugs to exercise?,255
SHOO,4,Leave film before the end,255
MOPED,5,Bike was blue,255
NOBLE,5,Aristocrat thanks departing grandee,255
CODER,5,Python worker perhaps taking tail out of trap,255
ELITE,5,Back of fridge has low-fat cream,255
PARODY,6,Send up gun to foot patrols,255
INMATE,6,I'm doing porridge and hot tea,255
COGNAC,6,Drink may become cold on the counter,255
DETEST,6,Hate low grades on exam,255
INTERWAR,8,Wrestling trainer drinks whiskey between fights,255
CLINCHER,8,No stopping chestnut conker's final coup de grâce,255
COMMANDO,8,"Having not donned pants, don pants!",255
AMORTISED,9,Paid off corrupt mediators,255
COXSWAINS,9,"Directors of company getting extra small victories, acquiring Amazon's capital",255
SOCIALIST,9,Red ED pill swallowed by sot,255
GUSSIEDUP,"7,2","With varied guises, NI party given a makeover?",255
XENOPHOBES,10,They hate those foreign phone boxes abroad,255
POSITIONED,10,"Did place partially put up barricade? No, it is open",255
WASSAILING,10,Spent time at sea singing traditional songs,255
SIDESADDLE,10,Allies make stupid horse-riding strategy,255
OSTENTATION,11,Show nine tattoos off,255
CONTRAINDICANTS,15,"MI6 chief, about to coach detective, can't initially see reasons not to proceed",255
BYE,3,Overheard bribe for free pass,256
INN,3,Tavern with fashionable barman at the back,256
EURO,4,Regret going back round Malta's capital,256
TRIO,4,"Finish off sweet port, leading to threesome",256
OHMS,4,Some resistance shown by second-in-command on ship,256
ACNE,4,Green card being withdrawn inspires this complaint,256
DANISH,6,European martial artist is hot,256
NICHES,6,Homespun guerrillero's hidey-holes,256
ORDURE,6,Waste primarily dumped in Yellow River,256
CASUAL,6,Unconcerned about general being beheaded,256
REGROW,6,Number plate controversy's come up again,256
NEVADA,6,State secrecy measure concealing spacewalk?,256
ETHANE,6,Something explosive in Globe's latest Macbeth?,256
ELDEST,6,First-born prince will suspend the seditious parliament in the end,256
ATTACH,6,Teetotaller in AA clubs gets Henry to join,256
BESEECH,7,Beg directions for going through wood,256
HAITIAN,7,I see revolutionary with charisma: timeless titan Toussaint Louverture?,256
NIGHTCAP,8,Patching frayed sleepwear,256
CHIVALRY,8,"Greek character to change clothes, back to ideal gentlemanliness",256
DISCLOSE,8,Make public record and admit defeat,256
REPROACH,8,"Criticise leap of logic, taking on expert",256
IRISHSEA,"5,3",Man's here with flower—he's broken up with alto,256
AMARETTO,8,"A terrible experience, having knocked back too much liqueur",256
ALLELUIA,8,Everyone meeting saviour lies regularly about praise for God,256
INEPTITUDE,10,"Being incompetent, I need it put differently",256
ROPELADDER,"4,6",Right pole when rambling with summer climbing gear,256
BEERBOTTLE,"4,6","Rob crashed at junction in Volkswagen, showing evidence of drinking",256
HOCK,4,Rhenish white meat,257
CLIP,4,Short video's fast pace,257
CIAO,4,Spies meeting leader of operatives later,257
TACO,4,I appreciate that company's Mexican food,257
MATHS,5,Dull high school subject,257
CLIMB,5,Ascent of member at clubs,257
TENCH,5,Fish rook plucked from ditch,257
FLUNG,5,Cast takes breather after foxtrot,257
UNIFY,5,Consolidate university faculty after clear-out,257
TRACT,5,Speaker's followed pamphlet,257
ISAAC,5,I returned like cooler Biblical figure,257
ETHER,5,Number of sci-fi movies from 1982 and 2014,257
PUTRID,6,Rest clear off,257
BISTRO,6,Writer pens outline of script in café,257
STYMIE,6,Block of stone with crusts of yttrium iodide,257
COLISEUM,8,Amphitheatre represented muse Clio,257
AGLITTER,8,Attorney general: rubbish or brilliant?,257
GASLIGHT,8,Grand entrance of abbey having meagre illumination,257
REINSTALL,9,Governor unlikely to be put back in position,257
OSCILLATE,9,Piece of metallic sodium about to be unstable,257
CHAMPAGNE,9,"Winner gets silver, bearing celebratory drink",257
BEEFSTEAK,9,Meat from grouse's wood,257
GENITALIA,9,General from Europe losing no privates,257
BROKERAGE,9,Less wealthy period in financial business,257
PROPOSERS,9,Oppressor redeployed those bending the knee?,257
PROFITABLE,10,Advantageous for story to include sex,257
GEOTHERMAL,10,"Type of power plant beset by sabotage, other malfeasance",257
AFICIONADO,10,A heartless lie heralds trouble for lover,257
ALLEGIANCE,10,Claim to control one South African party's loyalty,257
MASK,4,Speaker's butch façade,258
ETAS,4,Greek characters give enough up,258
COPE,4,Bobby and Molly weather hard times,258
BARI,4,Leaders of bloc attending roundtable in Italian city,258
CLOUT,5,Conservative boor's influence,258
PACKS,5,Groups of wolves pronounced truce,258
SHORN,5,Clipped start of solo by brass instrument,258
ARENA,5,Extract from Shakespeare narrated in concert venue,258
CAUGHT,6,Heard about anything?,258
FATHER,6,Bulging present nearly pops,258
PASTURE,7,Grassland on other side of river,258
TIMPANI,7,Percussion played in a pit around mike,258
KILLING,7,Monarch covering up evil murder,258
ATHEART,"2,5","Articles on e.g. sculpture, essentially",258
EVENTFUL,8,Busy shifting flue to install air outlet,258
CHAPLAIN,8,"Minister has tea without milk or sugar, perhaps",258
BACKCOMB,4-4,Group in taxicab mock cabbie's receding hair treatment,258
ARCHIPELAGOS,12,Island groups found by a Roman Catholic in East African location,258
GEOLOCATIONS,12,Oceanologist mixed up latitude and longitude coordinates,258
ORCHESTRATING,13,Arranging Hector's Brahms score,258
BUTTERFINGERS,13,"Bishop, say, identifies klutz",258
NAVE,4,Church body caught miscreant,259
GLOM,4,Grab medium over large flip-flops,259
NOUS,4,Nancy's first person to show common sense,259
ACAI,4,Shelled cacao nib to get fruit,259
URDU,4,"Ancient city, centre of Hinduism, is the talk of Karachi",259
OVATE,5,Cheer eggs on the heartless,259
CLONE,5,"Cream, principally single or double",259
CORSET,6,My ensemble's undergarment,259
NEPALI,6,Himalayan or Alpine ground,259
GANDER,6,Butcher's in terrible danger,259
MARKET,6,Hype up score on sci-fi film,259
LIMBER,6,Spry mountaineer eschewing cold,259
ICEBOX,6,Reserve section of theatre that's cooler,259
CASING,6,Preparing to rob gambling establishment to make ring £1000,259
OSCARS,6,Awards zero marks,259
ELICIT,6,Extract of wolfsbane ultimately legal,259
ALWAYS,6,Read out passages in Cockney accent every time,259
EGRESS,6,"Way out, perhaps on ship",259
APOLLO,6,Answer survey primarily on space programme,259
OUTREACH,8,You treacherous guards go too far!,259
NUTSHELL,8,"Case for e.g. Brazil being mad, awful place",259
TANISTRY,8,Group in Pakistan is trying electoral succession,259
WITHDREW,8,Democrat in Wisconsin intentionally lost and stopped competing,259
POLITICO,8,Oil topic agitated parliamentarian,259
ASTATINE,8,"At A&E, injected with heart medication",259
AESTHETE,8,"Art lover's ""Sea Ebbing on the Coasts of Tyre""",259
TOYSPANIEL,"3,7",Dog pants at Noel and yips,259
SWITCHEROO,10,Surprising change in sport's beginning with longer rounds,259
NICK,4,Prison alias,260
VEGA,4,Criminal gave Lyra shiner,260
FORM,4,Feminine or masculine physique,260
LOCO,4,Train bats,260
LADEN,5,Left port full of cargo,260
CEDAR,5,Wood from coppiced arbour,260
URNED,5,"How Ashes may be won, reportedly",260
MACAW,5,Parrot starts to mimic another bird's call,260
MORTAL,6,Lesson covers tritium being deadly,260
CURARE,6,Copper-red poison,260
WEEVIL,6,You and I are backing six-footer,260
IAMBIC,6,Writer's introduction using poetic metre,260
GAMETE,6,Perhaps pheasant ultimately kept partridge's egg?,260
ANTONYM,7,Not many organised opposition,260
REDRESS,7,Remedy is on bandage,260
FATHOMED,8,Got fine in Germany,260
ABSOLUTE,8,"Utter a nonsense oath at first, then one with strings attached",260
OLDIRISH,"3,5",Bloomer in broadcast—hold tongue,260
TERRAPIN,8,Land inhabited by soft-shelled reptile,260
HEROINES,8,That man brought back old protagonists,260
FELTTIPS,"4,4",Some lickspittle flatters stuck-up writers,260
CREAMSODA,"5,4",Drink lots in closing bars,260
FOSTERLING,10,Charge for spending rands and pounds,260
SHETLANDER,10,Mud coats the cycling Scot,260
GLOOMINESS,10,"Garbled neologisms for ""the blues""",260
HOVERBOARD,10,Flying vehicle too far past helipad,260
MERCHANTSHIP,"8,4","French sea shanties, for example, in cargo vessel",260
NEWSPAPERMAN,12,Cutting-edge resort to treat hair with a nitrogen hack?,260
HEX,3,"Come again, back by magic",261
SOL,3,Leaders of spaceship overseeing last day on Mars,261
PLAN,4,Detailed vehicle blueprint,261
BOLD,4,Bishop with outdated sort of font,261
BITS,5,K-pop group covering current pieces,261
IONA,4,Island regularly visited in his own car,261
NAMES,5,Calls Jack about missing article,261
LANCE,5,Stab tip of cutlass through artery?,261
SEDNA,5,Dwarf planet bearing evidence of life,261
ONSET,5,Start to regain consciousness despite anaesthesiologist's conclusions,261
ASIMOV,6,Novelist brings up a timeless revolutionary,261
AVERSE,6,Hostile states close to armistice,261
HEROICS,7,Impressive feats toppling hi-score,261
MONITOR,7,Lizard egg buried in heath,261
TREMBLE,7,Monsieur breaking into high-pitched vibrato?,261
ALCOHOL,7,Everyone coats salmon in the sauce,261
MADONNA,7,Crazy about North American pop star,261
FOIEGRAS,"4,4","Foreign Office start to investigate retired sergeant, showing delicacy",261
SPENDING,8,Stockbroker's capital and unsettled outgoings,261
ARMAGNAC,8,Terrible anagram by beginner in crosswording shows spirit,261
HENCHMEN,8,His Majesty separating from this knight's minions,261
RAISECAIN,"5,4","Bulldoze sugar plant, reportedly to cause commotion",261
NAVYBEANS,"4,5",Sides for Vichy bouillabaisse: filling breads and dried legumes,261
MULTIVERSE,10,Doctor must relive different versions of reality,261
UNATTACHED,10,Single taunt somehow hurt,261
METROSEXUALS,12,Well-groomed men extol masseur animatedly,261
MINISTRATION,12,Feminist rationale secures this provision of aid,261
ODE,3,Speaker's outstanding poem,262
MET,3,Came up against London police,262
HIDE,4,Hard fish-skin,262
ACES,4,Cooler drugs—brilliant!,262
ROPE,4,One might skip this part of undercover operation,262
TILL,4,There's money in this work on farm,262
SATURN,6,Roman god posed on amphora?,262
AUTHOR,6,Write rho and tau in the wrong order,262
BRUNET,6,Dark-haired baronet penning letter in dead language,262
DEJAVU,"4,2",German's agreed to fill in coder on Ubuntu's latest memory issue,262
AVALON,6,Lack of volcanic output around island,262
DELUXE,6,Opulent two in Paris hosting large soirée at last,262
UNISON,6,Agreement about supporting educational establishments,262
IGNOBLE,7,Mean goblin clobbered gnome's backside,262
MYSTERY,7,Setter's second attempt to grasp heart of chess puzzle,262
BLOCKADE,8,Told to secure part of canal in siege,262
ADULTERY,8,Earl wrestles with duty and infidelity,262
LAUREATE,8,Prizewinning poet's loss of gold,262
ROOTLESS,8,Digs beginning to shelter vagabond,262
ARMAMENT,8,Motherboards aren't military equipment?,262
ADLIBBED,2-6,Commercial was untruthful about bees and made stuff up,262
UPSTANDING,10,Good winning position,262
LIGHTHOUSE,10,"Sailor's guide misrepresented isle, though",262
ELABORATED,10,New form of oral debate went into more detail,262
HOOTENANNY,10,Comedian grandmother hosts electronic music event,262
EXTEMPORANEOUS,14,Improvised unnecessary parts for silly poem,262
LENDINGLIBRARY,"7,7","Ultimately, spiral binding rarely worked on books here",262
ARM,3,Santa's ultimate jolly outfit,263
THEY,4,Those people's community hangout,263
CRIB,4,Switchback passes middle-of-nowhere residence,263
SUCKY,5,Southern US state neglecting county that's poor,263
OXEYE,5,Daisy taking analgesic drug spiked with MDMA,263
INDIA,5,"Speaking in code, I elected to abet uprising",263
ENEMY,5,Heading from Plymouth to London to attend Lord's competition,263
HYPNOS,6,One soporific broadcast of popular numbers,263
PINION,6,Blame having ignored base of left wing,263
ACTAEON,7,Huntsman made animal seem alpha—wild one,263
EXISTED,7,Were split-screens central part of episode?,263
ADJACENT,8,NEXT's dinner jacket offer?,263
BARONESS,8,Lady's voice disheartened sopranos,263
ALONGSIDE,9,Latest character for Indiana Jones to ally with,263
LAYPERSON,9,Amateur troupe delaying start of production over November,263
REGULATOR,9,Internal Affairs perhaps register pistol being cocked,263
WASTELAND,9,Carved stone pillar charges magical conduit in desert,263
HANDBRAKES,10,"These manually immobilise swordfish, according to Spooner",263
PLAGIARISE,10,Pirate prisoner: this guy admitted to capital crime in the end,263
EXTEMPORISE,11,Fugue's coda ending in unorthodox accelerando? Play it by ear!,263
ROBESPIERRE,11,Loose clothing given to one doing surveillance on revolutionary,263
DEMERARASUGAR,"8,5","Gold granules from the east, past Dubrovnik and Red Sea",263
COVERINGLETTER,"8,6",Lock's secured by longer explanatory note,263
INTHEAGGREGATE,"2,3,9",Collectively gathering around east entrance to city,263
DRAG,4,Queen's clothes are boring,264
CENT,4,Bouquet gathered for Penny,264
GIVE,4,"Under gravity, setter has to yield",264
GEAR,4,Piece of machinery from grand organ,264
SPEC,4,Lying about edible mushrooms in detailed instructions,264
AURA,4,Atmosphere of hearing that's interminable,264
RANDO,5,Nobody in particular was organising get-together,264
IDIOT,5,Fool taken in by factoid inevitably retracted,264
TUNDRA,6,Doctor devoured by fish in icy region,264
CIPHER,6,Encryption of intellectual property held by pop star,264
NORDIC,6,Detectives discovered wrong revolutionary from Scandinavia,264
SVELTE,6,Sleek lieutenant wears second chevron,264
CODDLE,6,Cold rum left close to inquisitive baby,264
DUNNER,6,"CD burning regularly ends in courthouse for bailiff, perhaps",264
CRECHE,8,Daycare clubs at rec centre in Manchester,264
DOGGED,6,"Stubborn and stuck-up devotee, primarily for one deity",264
OBSCURED,8,Covered up overdose after ingesting hokum remedy,264
TRENDING,8,Viral retweet about finale,264
CHURLISH,8,"Bad-tempered Charlie—""Chuck""—is hot",264
ESTRANGE,8,Sergeant managed to cause resentment,264
ARTINESS,8,Serving of tartines signalled cultural sophistication,264
DEMERITS,8,"Head of department, old professor, leaves you negative marks",264
CASSETTE,8,Recording principally catches when group takes the shot of heroin,264
CHLORINATE,10,"Chemically disinfect with reaction, somehow consuming hectolitres",264
ESIGNATURE,1-9,Delivery of vape needing character's ID,264
ANTHROPOCENTRIC,15,Focused on people in HR cutting free contraception,264
COLLISIONCOURSE,"9,6",Way in which we're sure to have an impact?,264
COD,3,Fish bones thrown up,265
AOK,1-2,Cool bazooka regularly fired,265
LYNX,4,Picked up sausages for cat,265
VINO,4,Oscar goes after very hot beverage,265
ORCS,4,Monsters disembowelled other creatures,265
SEEM,4,Appear to spy on spymaster,265
TOFF,4,Aristocrat addressing Forces,265
KIWI,4,Caught important little bird,265
OPINE,5,Nobody wants to volunteer,265
RIVET,5,Setter's entering right PIN,265
TOERAG,6,Rotter got overthrown—about time!,265
ENTICE,6,Fragment of authentic Egyptian charm,265
EGGNOG,6,Perhaps one ringing up tipple,265
SCREWTOP,8,Bar staff opens bottle,265
STRAPPED,8,Syndicate's leader caught carrying gun,265
CHOCICES,4-4,Cold jams—options for afters,265
IGNORANCE,9,Bliss proverbially comes from playing organ in church,265
NEARTHING,"4,5",Electrician ultimately making circuit safe—disaster narrowly avoided,265
HIGHHEELS,"4,5",Footwear Instagram's plugging triply hard at swimmers,265
NEFERTITI,9,Queen's entire fit tailored,265
PINACOLADA,"4,6",Detective has nothing to drink—soft drink or alcoholic drink,265
SPRINKLING,10,Small marketing idea's dash,265
DODECANESE,10,Poles inhabiting banks of Dnipro river and group of islands,265
ALLEGRETTO,10,Pitch welcoming left winger's instruction to players,265
AIDEDECAMP,4-2-4,Officer did perfect service suppressed by primarily propagandist media after revolution,265
CRIMINALISATION,15,Banning Minorca's initial revolts,265
STANDANDDELIVER,"5,3,7",Obsess over D&D slander about criminal order,265
TEAR,4,Drop rent,266
PERK,4,Benefit according to king,266
STOP,4,Foil in kitchenware on the counter,266
BOLO,4,Surprise after being stabbed by large machete,266
SWORD,5,Blade used to cut out of trap,266
STEAM,5,Cook a cracking bit of broccoli,266
HIPPO,5,River-dwelling mammal in Italian river,266
FORGO,5,"Sacrifice missed, losing gambit in the end",266
CHIVES,6,Garnish initially causing allergic reaction,266
DESIST,6,"During Lententide, sisters abstain",266
HASSLE,6,"Ignoring the odds, she also solved problem",266
ALLEGE,6,"Accuse everyone for one crime, ultimately",266
AMONGUS,7,Loaded guns shown by a Flash videogame,266
NURSING,7,Is career reflecting no good medical work?,266
ATHLETE,7,Sportsperson's bad tennis serve covered in articles,266
STANDFOR,"5,3",Mean bear,266
DEMOCRAT,8,Sequence in five-star comedy about politician,266
QUASHING,8,Suppressing with violence—cue terrible anguish,266
IDEOGRAM,8,Character's current hound corralling last of the sheep,266
TAILORING,9,Fitting rear gasket,266
AUDIOTAPE,9,Recording second-in-command during investigation by Mirror,266
FREIGHTER,9,One boxing parcels on cargo ship,266
LOGISTICS,9,Supply of lumber including one shortened twig,266
DISREGARD,9,Overlook boisterous parties setter had over day,266
SHIFTGEARS,"5,5",Cryptic instruction for Sarge to try a new strategy,266
METROPOLIS,10,Big city banks to manage uplift of granary and harbour,266
QUARTERFINALIST,15,One of eight remaining inquirers at flat after refurbishment,266
ROE,3,Woodland creature's eggs,267
ERR,3,Stray terrier's adopted,267
ELAND,5,Antelope's dash over delta,267
GATOR,5,Reptile from Georgia upland,267
DROVE,5,Caused pacifist to accept reconquest's beginning,267
REDUX,5,"Brought back king to protect queen's file, but barely",267
SIGHS,5,Laments speaker's volume,267
ELVER,5,Large charges always a little fishy,267
TOTEM,5,Religious carving of bear shown at Mass,267
BIGSHOT,"3,4",Someone racist perhaps keeping quiet,267
TORNADO,7,Whirlwind of tandoor cooking,267
AGAINST,7,V&A acquires Rembrant's final piece,267
HYGIENE,7,Reportedly elevated denim's cleanliness,267
TRYITON,"3,2,2",Test limits of Neptune-orbiting satellite over year,267
VESTIGE,7,Victor's letter frames soprano—it overturned good evidence,267
GAMBIAN,7,Retracted magazine article about AC/DC being from West Africa,267
WHIZBANGS,9,Tories' opposition welcoming ban on unknown fireworks,267
STRIDENCY,9,Shrillness of jazz style clubs introduced to New York,267
ARBORETUM,9,Plantation area run well by corporation,267
ATHEISTIC,9,Not believing man is stuck in loft,267
WARRANTED,9,Railed against conflict being justified,267
DYSENTERY,9,"Covers for dodgy guard pocketing drug, leading to complaint",267
MCMANSION,9,"Large showy building is to be erected in 1900 on first of April—no, November",267
CATAMARAN,9,Twin-hulled boat and vessel crossing a river between Devon and Cornwall,267
RHAPSODISED,11,Freaked out as criminal raided shops,267
REMEMBRANCE,11,Reminder about film having cold open,267
GINGERBREADMAN,"11,3",Sweet liquor and green German drinks,267
INHERITANCETAX,"11,3",Fee on belongings left after checking out?,267
RAIN,4,Downfall of dictator's regime,268
LEAK,4,"Spill the beans and veg, by the sound of it",268
AWOKE,5,Came to A&E with kitchen utensil lodged inside,268
OCTAL,5,Base of operations conscripts the army legion's leaders,268
SPOOL,5,Cylinder turns round,268
LASSO,5,Baseball association employs this catcher,268
QUAVER,6,Crisp note,268
ACTING,6,"Tenor enters, nailing stagecraft",268
STAPES,6,Sticks with stallion's starter stirrups,268
OBERON,6,Love has borne out for Titania's husband,268
OEDIPUS,7,Greek dictionary I sell abridged,268
HARVEST,7,"Gather e.g. rye whiskey, leaving docks on time",268
REGALIA,7,Top-shelf beer served up in the Crown and Scepter?,268
ARBITER,7,"One deciding when a satellite passes Pluto, ultimately",268
PEPPERY,7,Energy off pyre burning,268
INNINGS,7,"Chance to score jackpot, not having won",268
TOWNSHIP,8,Turkey's capital has trendy urban area,268
BROUGHAM,8,Antique carriage fetched almost a million,268
OVERHEAD,8,Flightless bird circled by dove flying up above,268
PLAYFAIR,"4,4",Quiet ballad followed by loud tune for fiddle? Not at all!,268
MACARENA,8,Slicker venue for dance,268
GROTESQUE,9,Monstrous ogre messed with quest,268
INDUSTRIAL,10,Pakistan banker against experimental manufacturing,268
BLUEBOTTLE,10,Cop's low gumption,268
DOPPELGANGER,12,Copy of pages in Golden Age novel by Rand,268
SIDESPLITTER,4-8,"Joke insult retracted, especially rubbish",268
COPY,4,Parrot fed with fork,269
HEAR,4,Detect two noble gases,269
CITY,4,Tours for one in Capri and Tuscany on vacation,269
SONIC,5,Very quick kid in charge,269
BASIC,5,Simple degree to get just like that,269
EARLY,5,Almost not opening ahead of schedule,269
IMAGE,5,Graphic design held up in console gaming,269
SWING,5,Make music incorporating western jazz style,269
RALLY,5,Recover resistance collaborator,269
ANNUL,5,"Cancel yearly bar crawl, essentially",269
PRIOR,5,Propaganda given to one soldier beforehand,269
INCLUDE,7,"Don't forget ""inn"" clued as a homophone",269
NOMINAL,7,Insignificant word used as a noun,269
GENERAL,7,Common groups of species found north of Lima,269
UTILISE,7,Exploit union connection to employ fifty interns at the banks,269
BELIEVE,7,"Hold disguise against mole, ultimately",269
TOTALLY,7,To enumerate completely,269
LENIENT,7,Forgiving knight that is breaking fast,269
CHESTNUT,8,Saw red and ruined stunt,269
NEWCOMER,8,Novice crewmen at sea bored by second-in-command,269
AIRCRAFT,8,Car I wrecked near boat and other vehicles,269
ETCETERA,"2,6","Crete misrepresented in Greek letter, among other things",269
ENCOURAGEMENT,13,Support more nuance and get condemned,269
INTERNATIONAL,13,Overseas jail lacking key to imprison inmates at first,269
SLAT,4,"Strip, beginning to show muscle",270
OVER,4,Surplus gun second-in-command returned,270
RING,4,Phone sound is what you get when engaged,270
ISPY,"1,3",Get upsilon and psi the wrong way round in guessing game,270
CLOSE,5,Prevent access to nearby cul-de-sac,270
LEAVE,5,Permission to resign,270
FELLA,5,Everyone taken aback by Iron Man,270
OUTRO,5,"Final section almost best in regatta, perhaps",270
PSYCHE,6,Spirit drunk by tipsy cheerleaders,270
OLDAGE,"3,3","Criminal gaoled for life, eventually",270
SLOGAN,6,Hard work on article's marketing strategy,270
ORDAIN,6,Soldier having to consent to dictator's decree,270
CIRCLE,6,Reformed cleric's halo?,270
BUFFET,6,Connoisseur regularly eats smorgasbord,270
OUTRAGE,7,Shock right in the middle of power cut,270
SOZZLED,7,Drunk apologies left in last letter,270
RECENTLY,8,Bit of cash put in bank just now,270
KINGSTON,8,Cycling through impressively large capital city,270
OUTHOUSE,8,Second person fording river in bog,270
ERASABLE,8,Like whiteboard markers are: unusually black,270
STETSONS,8,"This answers ""what are felt hats also known as?"", ultimately",270
TANGERINE,9,Orange colour I mixed up with green,270
SCINTILLA,9,Trace report of fault with steering device,270
UNCANNIEST,10,Most eldritch ancient sun dances,270
WETBLANKET,"3,7",Killjoy knew battle to be lost,270
TOOKITEASY,"4,2,4","As well as going by plane, Yankee avoided anything strenuous",270
FALSEALARM,"5,5",Instance of crying wolf and river mammal at inlet,270
NOTIMETODIE,"2,4,2,3",Other people force lyric to encapsulate current Bond film,270
CROSSSWORDS,"5,6","Struggle as solver, initially, to crack puzzles",270
NET,3,Clear trap,271
GUT,3,Hamburger's good for digestive system,271
LIST,4,Record cant,271
PEAR,4,Fruit couple gathered,271
SEAT,4,Place to dine on seconds,271
FOUR,4,Grain that's free from centre of village square,271
INCUR,5,Get hot dog,271
OTHER,5,"Old Testament protagonist, after losing love, is not the same",271
FATAL,5,Disastrous refurbishment of a flat,271
TCELL,1-4,I fight infections in order to curb cold,271
ENOUGH,6,Group of craftsmen ought to make plenty,271
PRESET,6,Option of fillingless entrées in sandwich shop,271
ARTISTE,7,Attire's tailored for performer,271
